epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2655,0.78646,2.32892,0.94298,0.91623,0.16367,0.67758,0.53853,0.73136,2.92791,0.88693,0.000409091,0.000409091,0.000409091
2,69.2018,0.77774,1.35308,0.9445,0.64663,0.6363,0.72965,0.55773,0.76312,1.77278,0.94332,0.000809408,0.000809408,0.000809408
3,102.978,0.76069,1.21218,0.94744,0.6806,0.66207,0.71558,0.55934,0.72977,1.24173,0.93503,0.00119322,0.00119322,0.00119322
4,136.706,0.77046,1.11814,0.96028,0.86066,0.77719,0.83846,0.63962,0.74392,0.86433,0.94361,0.00117575,0.00117575,0.00117575
5,170.386,0.74738,0.96451,0.9416,0.79797,0.82276,0.85285,0.66032,0.75882,0.98091,0.95825,0.001151,0.001151,0.001151
6,204.402,0.75435,0.88401,0.95457,0.89066,0.85234,0.91541,0.7245,0.68587,0.74561,0.93709,0.00112625,0.00112625,0.00112625
7,238.321,0.71849,0.78334,0.94176,0.88106,0.83193,0.86963,0.71207,0.66016,0.62417,0.90313,0.0011015,0.0011015,0.0011015
8,272.041,0.71784,0.76392,0.94058,0.92562,0.83618,0.91393,0.74034,0.64011,0.57106,0.90272,0.00107675,0.00107675,0.00107675
9,305.933,0.68331,0.71302,0.92906,0.8892,0.87295,0.91571,0.7429,0.65078,0.59189,0.90433,0.001052,0.001052,0.001052
10,340.147,0.67419,0.64692,0.91648,0.91194,0.84691,0.90653,0.73451,0.64587,0.57995,0.90623,0.00102725,0.00102725,0.00102725
11,373.939,0.67959,0.64742,0.91496,0.89629,0.88311,0.94254,0.77465,0.59236,0.48051,0.87727,0.0010025,0.0010025,0.0010025
12,407.359,0.66826,0.60608,0.91867,0.90588,0.91033,0.93992,0.77431,0.58371,0.4806,0.86943,0.00097775,0.00097775,0.00097775
13,440.789,0.6497,0.57246,0.90235,0.94407,0.93049,0.95787,0.78261,0.57255,0.43615,0.86631,0.000953,0.000953,0.000953
14,474.882,0.63719,0.53925,0.90358,0.93961,0.92763,0.95879,0.78441,0.61021,0.44351,0.88062,0.00092825,0.00092825,0.00092825
15,508.741,0.63996,0.53487,0.90386,0.92891,0.92645,0.95616,0.78029,0.6216,0.44698,0.88071,0.0009035,0.0009035,0.0009035
16,542.739,0.64597,0.52979,0.91074,0.96776,0.9451,0.96848,0.79634,0.57696,0.42401,0.86718,0.00087875,0.00087875,0.00087875
17,576.765,0.62372,0.50757,0.89898,0.95673,0.93242,0.96328,0.80539,0.56149,0.39727,0.86123,0.000854,0.000854,0.000854
18,611.05,0.62228,0.49578,0.89638,0.9349,0.94033,0.96439,0.79515,0.57729,0.41593,0.87023,0.00082925,0.00082925,0.00082925
19,644.479,0.60571,0.50398,0.88937,0.96546,0.9437,0.97041,0.81821,0.55158,0.37816,0.86004,0.0008045,0.0008045,0.0008045
20,677.812,0.61868,0.49285,0.89982,0.94939,0.9384,0.96912,0.81874,0.55857,0.40586,0.8556,0.00077975,0.00077975,0.00077975
21,711.235,0.59119,0.46631,0.89139,0.96516,0.92942,0.96737,0.807,0.55415,0.4186,0.85466,0.000755,0.000755,0.000755
22,744.521,0.5938,0.45316,0.88584,0.96626,0.94534,0.97689,0.83212,0.54688,0.368,0.85717,0.00073025,0.00073025,0.00073025
23,778.305,0.59456,0.44091,0.88141,0.96756,0.96719,0.98112,0.83107,0.54476,0.35031,0.85229,0.0007055,0.0007055,0.0007055
24,811.683,0.59284,0.43653,0.88198,0.98337,0.96003,0.98001,0.82843,0.54627,0.34222,0.85268,0.00068075,0.00068075,0.00068075
25,845.224,0.58235,0.41428,0.88058,0.97593,0.95755,0.97416,0.81618,0.54574,0.35965,0.84939,0.000656,0.000656,0.000656
26,878.984,0.56868,0.40788,0.87605,0.96302,0.97015,0.97949,0.8379,0.52296,0.34401,0.84488,0.00063125,0.00063125,0.00063125
27,913.351,0.56366,0.40379,0.87307,0.95906,0.97024,0.9811,0.84291,0.52242,0.32664,0.84168,0.0006065,0.0006065,0.0006065
28,946.63,0.57014,0.40078,0.88335,0.96717,0.95033,0.9805,0.84817,0.51114,0.32379,0.8383,0.00058175,0.00058175,0.00058175
29,979.776,0.56745,0.39791,0.87357,0.96977,0.95882,0.97922,0.84939,0.51684,0.33023,0.84036,0.000557,0.000557,0.000557
30,1013.23,0.55794,0.39593,0.87288,0.9883,0.95436,0.98388,0.85509,0.50209,0.32317,0.83373,0.00053225,0.00053225,0.00053225
31,1046.6,0.55986,0.39185,0.87632,0.97099,0.9703,0.98876,0.85517,0.50232,0.31154,0.83307,0.0005075,0.0005075,0.0005075
32,1080.21,0.55597,0.38282,0.87422,0.9876,0.96821,0.98875,0.8545,0.51322,0.31671,0.83745,0.00048275,0.00048275,0.00048275
33,1113.43,0.54253,0.3724,0.87264,0.98022,0.97355,0.98673,0.86087,0.49931,0.30543,0.83637,0.000458,0.000458,0.000458
34,1147.46,0.53255,0.3642,0.87087,0.99058,0.97098,0.98876,0.86546,0.48173,0.29503,0.8263,0.00043325,0.00043325,0.00043325
35,1180.77,0.54577,0.37438,0.86373,0.98068,0.97328,0.98869,0.87741,0.47917,0.2865,0.82531,0.0004085,0.0004085,0.0004085
36,1214.1,0.52967,0.3557,0.86112,0.98691,0.97605,0.98999,0.86993,0.47319,0.28225,0.8254,0.00038375,0.00038375,0.00038375
37,1247.38,0.52934,0.35278,0.86302,0.99347,0.97422,0.99024,0.87256,0.47604,0.28265,0.82418,0.000359,0.000359,0.000359
38,1280.65,0.52199,0.34517,0.87253,0.97799,0.97159,0.98918,0.86455,0.47105,0.28161,0.82327,0.00033425,0.00033425,0.00033425
39,1313.97,0.53027,0.34196,0.86435,0.99327,0.97639,0.99054,0.88281,0.46972,0.27149,0.82243,0.0003095,0.0003095,0.0003095
40,1347.36,0.51397,0.3382,0.85689,0.98315,0.98096,0.98995,0.88477,0.45654,0.26553,0.81926,0.00028475,0.00028475,0.00028475
41,1379.39,0.48784,0.30785,0.83108,0.99304,0.97018,0.99012,0.88253,0.45968,0.27056,0.81994,0.00026,0.00026,0.00026
42,1413.07,0.48177,0.30118,0.83653,0.99297,0.97621,0.99129,0.8832,0.46114,0.27148,0.81956,0.00023525,0.00023525,0.00023525
43,1445.17,0.48479,0.29495,0.82417,0.99233,0.98282,0.99263,0.88363,0.45464,0.26137,0.81667,0.0002105,0.0002105,0.0002105
44,1477.52,0.4791,0.29176,0.8351,0.98783,0.98618,0.99217,0.88867,0.45533,0.26387,0.8182,0.00018575,0.00018575,0.00018575
45,1509.78,0.46441,0.28529,0.81739,0.99362,0.97888,0.99251,0.89061,0.45833,0.26013,0.81671,0.000161,0.000161,0.000161
46,1541.79,0.47131,0.28302,0.82716,0.99134,0.98494,0.99263,0.89744,0.43841,0.25154,0.81272,0.00013625,0.00013625,0.00013625
47,1573.85,0.46642,0.27769,0.82886,0.99116,0.98586,0.99282,0.89557,0.43712,0.25159,0.81251,0.0001115,0.0001115,0.0001115
48,1605.7,0.46186,0.275,0.82759,0.99532,0.98493,0.99287,0.90139,0.43228,0.2449,0.81185,8.675e-05,8.675e-05,8.675e-05
49,1637.73,0.45394,0.27493,0.82374,0.99566,0.98199,0.99282,0.90009,0.42757,0.24216,0.81105,6.2e-05,6.2e-05,6.2e-05
50,1669.96,0.44647,0.26785,0.81654,0.9947,0.98261,0.99302,0.90251,0.42644,0.24083,0.81036,3.725e-05,3.725e-05,3.725e-05
