epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3006,1.07874,2.52488,1.07577,0.97626,0.17215,0.63383,0.46539,0.93555,2.96555,0.95621,0.000409091,0.000409091,0.000409091
2,27.5143,1.08751,1.54195,1.07418,0.66809,0.69363,0.7681,0.5247,1.07871,1.81088,1.03088,0.000798508,0.000798508,0.000798508
3,40.8489,1.06512,1.41086,1.07019,0.81044,0.76066,0.79994,0.55702,0.98229,1.20414,1.07784,0.00116042,0.00116042,0.00116042
4,54.1462,1.05359,1.22023,1.0767,0.80179,0.79073,0.84538,0.58328,1.03029,1.15119,1.03338,0.00112625,0.00112625,0.00112625
5,67.2825,1.02465,1.10276,1.06287,0.88331,0.80067,0.86761,0.66336,0.84167,0.82253,0.96321,0.001085,0.001085,0.001085
6,80.2111,0.98859,1.00645,1.05739,0.89944,0.83427,0.88968,0.60155,1.09204,0.75743,1.08403,0.00104375,0.00104375,0.00104375
7,93.2126,0.96123,0.92855,1.03525,0.90847,0.85113,0.89917,0.65634,0.92979,0.67177,0.9854,0.0010025,0.0010025,0.0010025
8,105.933,0.93861,0.85969,1.02898,0.91323,0.83503,0.9177,0.68044,0.88154,0.67332,0.98622,0.00096125,0.00096125,0.00096125
9,118.675,0.92218,0.82548,1.01804,0.93595,0.85861,0.92722,0.70681,0.86197,0.58733,0.97412,0.00092,0.00092,0.00092
10,131.449,0.91746,0.7906,1.03277,0.93635,0.85804,0.91457,0.70942,0.84349,0.59238,0.95531,0.00087875,0.00087875,0.00087875
11,144.231,0.88969,0.75251,1.01111,0.89942,0.8612,0.91954,0.70799,0.72788,0.56007,0.9196,0.0008375,0.0008375,0.0008375
12,156.905,0.85141,0.73169,1.00653,0.93888,0.8679,0.93537,0.69884,0.8161,0.54504,0.95204,0.00079625,0.00079625,0.00079625
13,169.65,0.86871,0.68995,0.99566,0.93194,0.91849,0.94812,0.74053,0.77863,0.48712,0.92504,0.000755,0.000755,0.000755
14,182.337,0.83124,0.67043,0.97275,0.92617,0.9355,0.9513,0.73259,0.77899,0.49009,0.92163,0.00071375,0.00071375,0.00071375
15,195.312,0.83734,0.64631,0.99459,0.93817,0.92971,0.95086,0.74429,0.69374,0.47097,0.90272,0.0006725,0.0006725,0.0006725
16,208.056,0.80819,0.61583,0.98044,0.94491,0.92487,0.96394,0.76764,0.71705,0.44349,0.91496,0.00063125,0.00063125,0.00063125
17,220.746,0.82344,0.60215,0.97457,0.96459,0.92482,0.96284,0.7654,0.69165,0.43383,0.89751,0.00059,0.00059,0.00059
18,233.394,0.81692,0.60128,0.99143,0.93503,0.94704,0.96294,0.78173,0.65771,0.42241,0.89045,0.00054875,0.00054875,0.00054875
19,246.138,0.79082,0.57373,0.96813,0.94383,0.93348,0.96695,0.76777,0.74891,0.42401,0.9105,0.0005075,0.0005075,0.0005075
20,259.005,0.76347,0.54115,0.95611,0.95116,0.94724,0.96979,0.77905,0.64675,0.39937,0.88106,0.00046625,0.00046625,0.00046625
21,272.094,0.67161,0.48528,0.90272,0.95603,0.93387,0.96969,0.80175,0.61544,0.39149,0.87188,0.000425,0.000425,0.000425
22,284.042,0.65164,0.46991,0.90586,0.94657,0.95709,0.97261,0.80246,0.60095,0.39195,0.87216,0.00038375,0.00038375,0.00038375
23,296.369,0.64305,0.45418,0.89085,0.96174,0.95196,0.97696,0.81116,0.60587,0.38326,0.86734,0.0003425,0.0003425,0.0003425
24,308.386,0.61978,0.43845,0.87664,0.9548,0.95144,0.97054,0.81123,0.5867,0.36561,0.86301,0.00030125,0.00030125,0.00030125
25,320.467,0.62385,0.42759,0.88838,0.96667,0.96505,0.98016,0.82682,0.5467,0.35058,0.85035,0.00026,0.00026,0.00026
26,332.446,0.60824,0.40896,0.88279,0.96501,0.96039,0.98201,0.83016,0.55238,0.33863,0.84732,0.00021875,0.00021875,0.00021875
27,344.477,0.59394,0.39605,0.87855,0.97352,0.96564,0.98288,0.8383,0.54027,0.32832,0.84449,0.0001775,0.0001775,0.0001775
28,356.538,0.59344,0.38798,0.87643,0.97483,0.96544,0.98418,0.83604,0.55058,0.32175,0.84721,0.00013625,0.00013625,0.00013625
29,368.5,0.58225,0.38292,0.87516,0.97945,0.96755,0.98415,0.84022,0.52511,0.31385,0.84136,9.5e-05,9.5e-05,9.5e-05
30,380.73,0.57065,0.36436,0.86766,0.97657,0.9719,0.98553,0.84424,0.51877,0.30693,0.83784,5.375e-05,5.375e-05,5.375e-05
